,name,LTE,year,weight,display_type,screen_size,ppi,cpu_ghz,ram,internal,camera,front_cam,blth_v,battery,price
49,alcatel 1T 7,0,"2018, February",245 g (8.64 oz),"TFT capacitive touchscreen, 16M colors","7.0 inches, 137.9 cm2 (~65.6% screen-to-body ratio)","1024 x 600 pixels, 16:9 ratio (~170 ppi density)",Quad-core 1.3 GHz Cortex-A7,"8 GB, 1 GB RAM","8 GB, 1 GB RAM",2 MP,VGA,"4.2, A2DP",Non-removable Li-Ion 2580 mAh battery,About 70 EUR
50,alcatel Idol 5s,1,"2017, September",147 g (5.19 oz),"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~69.7% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Octa-core (4x2.35 GHz Cortex-A53 & 4x1.65 GHz Cortex-A53),"32 GB, 3 GB RAM","32 GB, 3 GB RAM","12 MP, f/2","8 MP, f/2.","4.2, A2DP, LE",Non-removable Li-Ion 2850 mAh battery,About 140 EUR
51,alcatel Idol 5,1,"2017, September",155 g (5.47 oz),"LTPS IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.9 cm2 (~69.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~423 ppi density)",Quad-core 1.3 GHz Cortex-A53,"16 GB, 3 GB RAM","16 GB, 3 GB RAM","13 MP, f/2","5 MP, f/2.","4.2, A2DP, LE",Non-removable Li-Ion 2800 mAh battery,About 120 EUR
52,alcatel A7 XL,1,"2017, September",175 g (6.17 oz),"LTPS IPS LCD capacitive touchscreen, 16M colors","6.0 inches, 99.2 cm2 (~76.3% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~367 ppi density)",Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"32 GB, 3 GB RAM","32 GB, 3 GB RAM","12 MP, PDA",5 MP,"4.2, A2DP, LE",Non-removable Li-Ion 4000 mAh battery,About 260 EUR
53,alcatel A7,1,"2017, September",164 (5.78 oz),"LTPS IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"32 GB, 3 GB RAM","32 GB, 3 GB RAM","16 MP, f/2",8 MP,"4.2, A2DP, LE",Non-removable Li-Ion 4000 mAh battery,About 190 EUR
54,alcatel U5 HD,1,"2017, August",129 g (4.55 oz),"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.1% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~294 ppi density)",Quad-core 1.1 GHz Cortex-A53,"8 GB, 1 GB RAM","8 GB, 1 GB RAM","13 MP, AF",8 MP,"4.2, A2DP, LE",Non-removable Li-Ion 2200 mAh battery,
55,alcatel Pulsemix,1,"2017, August",145.7 (5.15 oz),"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~71.0% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",Quad-core 1.5 GHz Cortex-A53,"16 GB, 2 GB RAM","16 GB, 2 GB RAM","8 MP, AF, ",2 MP,"4.2, A2DP, LE",Non-removable Li-Ion 2800 mAh battery,About 80 USD
56,alcatel Idol 5s (USA),1,"2017, June",148.8 g (5.26 oz),"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~70.8% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~424 ppi density)",Octa-core 2.0 GHz Cortex-A53,"32 GB, 3 GB RAM","32 GB, 3 GB RAM","12 MP, f/2","8 MP, f/2.","4.2, A2DP, LE",Non-removable Li-Ion 2620 mAh battery,About 250 USD
57,alcatel Flash (2017),1,"2017, April",155 g (5.47 oz),"IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~72.5% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Deca-core (2x2.3 GHz Cortex-A72, 4x1.9 GHz Cortex-A53, 4x1.4 GHz Cortex-A53)","32 GB, 3 GB RAM","32 GB, 3 GB RAM","13 MP, f/2","8 MP, f/2.","4.1, A2DP",Non-removable Li-Ion 3100 mAh battery,
58,alcatel U5,1,"2017, February",-,"IPS LCD capacitive touchscreen, 16M colors","5.0 inches, 68.9 cm2 (~68.2% screen-to-body ratio)","480 x 854 pixels, 16:9 ratio (~196 ppi density)",Quad-core 1.1 GHz Cortex-A53,"8 GB, 1 GB RAM","8 GB, 1 GB RAM",5 MP,2 MP,"4.2, A2DP, LE",Non-removable Li-Ion 2050 mAh battery,About 100 EUR
59,alcatel A5 LED,1,"2017, February",-,"IPS LCD capacitive touchscreen, 16M colors","5.2 inches, 74.5 cm2 (~70.8% screen-to-body ratio)","720 x 1280 pixels, 16:9 ratio (~282 ppi density)",Octa-core 1.3 GHz Cortex-A53,"32 GB, 3 GB RAM or 16 GB, 2 GB RAM","32 GB, 3 GB RAM or 16 GB, 2 GB RAM","8 MP, AF, ",5 MP,"4.2, A2DP, LE",Non-removable Li-Ion 2800 mAh battery,About 200 EUR
