name,LTE,year,weight,display_type,screen_size,ppi,cpu_ghz,ram,internal,camera,front_cam,blth_v,battery,price
Huawei P20 lite,1,2018,145,LCD,5.84,432,2.36,4.0,64.0,16.0,16.0,4.2,3000,273.6
Huawei Honor 7A,1,2018,150,LCD,5.7,282,1.4,3.0,32.0,13.0,8.0,4.2,3000,136.79999999999998
Huawei Y7 Pro (2018),1,2018,155,LCD,5.99,269,1.4,3.0,32.0,13.0,8.0,4.2,3000,170.99999999999997
Huawei Y7 Prime (2018),1,2018,155,LCD,5.99,269,1.4,3.0,32.0,13.0,8.0,4.2,3000,193.8
Huawei Y7 (2018),1,2018,155,LCD,5.99,269,1.4,2.0,16.0,13.0,8.0,4.2,3000,170.99999999999997
Huawei Y9 (2018),1,2018,170,LCD,5.93,407,2.36,4.0,128.0,16.0,13.0,4.2,4000,250.8
Huawei Honor 7C,1,2018,164,LCD,5.99,269,1.8,4.0,64.0,13.0,8.0,4.2,3000,228.0
i-mate 810-F,0,2009,150,OTHER,2.46,163,0.624,0.128,2.0,2.0,0.0,2.0,1200,627.0
i-mate Ultimate 9502,0,2007,200,OTHER,2.8,286,0.4,0.128,0.128,3.15,0.0,2.0,1620,467.4
i-mate Ultimate 8502,0,2007,140,OTHER,2.6,154,0.4,0.128,0.128,2.0,0.0,2.0,1530,228.0
i-mate Ultimate 8150,0,2007,152,OTHER,2.6,308,0.52,0.128,0.128,2.0,0.0,2.0,1530,296.4
i-mate Ultimate 7150,0,2007,180,OTHER,3.8,211,0.52,0.128,0.128,2.0,0.0,2.0,1400,341.99999999999994
i-mate Ultimate 6150,0,2007,152,OTHER,2.8,286,0.52,0.128,0.128,2.0,0.0,2.0,1530,296.4
i-mate JAQ4,0,2007,184,OTHER,2.8,143,0.2,0.64,0.64,2.0,0.0,1.2,1660,170.99999999999997
i-mate PDAL,0,2006,116,OTHER,2.4,167,0.2,0.64,0.64,2.0,0.0,1.2,1100,250.8
i-mate JAQ3,0,2006,160,OTHER,2.5,160,0.2,0.64,0.64,2.0,0.0,1.2,1200,273.6
i-mate SPL,0,2006,102,OTHER,2.2,182,0.2,0.64,0.64,2.0,0.0,1.2,1100,148.2
i-mate JASJAM,0,2006,176,OTHER,2.8,143,0.4,0.64,0.64,2.0,0.0,2.0,1300,250.8
i-mate SPJAS,0,2006,115,OTHER,2.2,182,0.3,0.64,0.64,1.3,0.0,1.2,1190,125.4
i-mate Smartflip,0,2006,99,OTHER,2.2,182,0.2,0.64,0.64,1.3,0.0,1.2,750,125.4
i-mate JAMin,0,2006,150,OTHER,2.8,143,0.2,0.64,0.64,2.0,0.0,2.0,1200,250.8
i-mate JASJAR,0,2005,285,OTHER,3.6,222,0.52,0.64,0.64,1.3,0.0,0.0,1620,296.4
i-mate K-JAM,0,2005,160,OTHER,2.8,143,0.2,0.64,0.64,1.3,0.0,2.0,1250,319.2
i-mate SP5,0,2005,106,OTHER,2.2,182,0.2,0.64,0.64,1.3,0.0,1.1,1050,170.99999999999997
i-mate SP5m,0,2005,106,OTHER,2.2,182,0.2,0.64,0.64,1.3,0.0,1.1,1050,170.99999999999997
i-mate SP4m,0,2005,100,OTHER,2.2,182,0.2,0.64,0.64,1.3,0.0,1.2,1150,148.2
i-mate JAM Black,0,2005,160,OTHER,2.8,143,0.416,0.128,0.128,1.3,0.0,1.2,1200,307.7999999999999
i-mate JAM,0,2004,150,OTHER,2.8,143,0.416,0.64,0.64,1.3,0.0,0.0,1200,296.4
iNQ Cloud Touch,0,2011,122,OTHER,3.5,165,0.6,0.0,0.512,5.0,0.0,2.1,1300,433.2
Intex IRist Smartwatch,0,2015,83,OLED,1.56,218,1.2,0.512,4.0,5.0,0.0,2.0,600,182.4
Jolla Jolla C,1,2016,150,LCD,5.0,294,1.3,2.0,16.0,8.0,2.0,4.0,2500,193.8
Jolla Tablet,0,2014,384,LCD,7.85,330,1.8,2.0,64.0,5.0,2.0,3.0,4450,193.8
Jolla Jolla,1,2013,141,LCD,4.5,245,1.4,1.0,16.0,8.0,2.0,4.0,2100,205.2
Karbonn Titanium Mach Two S360,0,2015,112,LCD,5.0,294,1.4,1.0,8.0,8.0,8.0,4.0,1900,159.6
Karbonn Sparkle V,0,2014,138,LCD,4.5,218,1.3,1.0,4.0,5.0,2.0,4.0,1700,91.2
Karbonn Smart A12 Star,0,2014,130,LCD,4.0,233,1.2,0.512,4.0,5.0,0.0,2.0,1400,56.99999999999999
Karbonn Titanium S1 Plus,0,2014,129,OTHER,4.0,233,1.2,1.0,4.0,5.0,0.0,2.0,1500,91.2
Karbonn Titanium X,0,2014,143,LCD,5.0,441,1.5,1.0,16.0,13.0,5.0,4.0,2300,228.0
Karbonn Titanium S5 Plus,0,2013,104,LCD,5.0,220,1.3,1.0,4.0,8.0,0.0,0.0,1800,136.79999999999998
Karbonn S9 Titanium,0,2013,176,LCD,5.5,267,1.2,1.0,16.0,13.0,5.0,0.0,2600,193.8
Karbonn A37,0,2013,335,OTHER,7.0,133,1.0,0.512,4.0,2.0,0.0,0.0,3000,114.0
Karbonn A34,0,2013,335,OTHER,7.0,133,1.0,0.512,4.0,2.0,0.0,0.0,3000,102.6
Karbonn A25,0,2013,150,OTHER,5.0,187,1.0,0.0,0.114,5.0,0.0,0.0,2000,91.2
Karbonn A4+,0,2013,87,LCD,4.0,233,1.0,0.0,0.9,3.15,0.0,0.0,1250,56.99999999999999
Karbonn A27 Retina,0,2013,126,LCD,4.3,256,1.2,0.512,4.0,8.0,2.0,0.0,1800,182.4
Karbonn A6,0,2013,114,LCD,4.0,233,1.0,0.512,0.104,5.0,0.0,0.0,1450,91.2
Karbonn A3,0,2013,90,OTHER,4.0,144,1.0,0.256,0.256,3.15,0.0,0.0,1400,79.8
Karbonn S5 Titanium,0,2013,200,LCD,5.0,220,1.2,1.0,4.0,8.0,2.0,2.1,2000,182.4
Kyocera DuraForce Pro 2,1,2018,243,LCD,5.0,441,2.2,4.0,64.0,13.0,5.0,5.0,3240,444.0
Kyocera DuraForce,1,2014,200,LCD,4.5,326,1.4,2.0,16.0,8.0,2.0,4.0,3100,364.8
Kyocera Brigadier,1,2014,187,OTHER,4.5,326,1.4,2.0,16.0,8.0,2.0,4.0,3100,341.99999999999994
Kyocera Torque E6710,1,2013,168,LCD,4.0,233,1.2,1.0,4.0,5.0,1.3,4.0,2500,307.7999999999999
Kyocera Echo,0,2011,193,OTHER,3.5,267,1.0,0.512,1.0,5.0,0.0,2.1,1370,399.0
Lava Z60s,1,2018,136,LCD,5.0,294,1.5,1.0,16.0,5.0,5.0,4.0,2500,69.3
Lava Z61,1,2018,139,LCD,5.45,295,1.5,2.0,16.0,8.0,5.0,4.0,3000,79.8
Lava Z91 (2GB),1,2018,147,LCD,5.7,282,1.3,2.0,16.0,13.0,8.0,4.0,3000,126.0
Lava Z91,1,2018,147,LCD,5.7,282,1.3,3.0,32.0,13.0,8.0,4.0,3000,140.0
