,name,LTE,year,weight,display_type,screen_size,ppi,cpu_ghz,ram,internal,camera,front_cam,blth_v,battery,price
23,Apple iPhone 8 Plus,1,"2017, September",202 g (7.13 oz),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors","5.5 inches, 83.4 cm2 (~67.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)",Hexa-core (2x Monsoon + 4x Mistral),"64/256 GB, 3 GB RAM","64/256 GB, 3 GB RAM","12 MP, f/1.8, 28mm (","7 MP, f/2.2, 32mm (s","5.0, A2DP, LE",Non-removable Li-Ion 2691 mAh battery (10.28 Wh),About 770 EUR
24,Apple iPhone 8,1,"2017, September",148 g (5.22 oz),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors","4.7 inches, 60.9 cm2 (~65.4% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)",Hexa-core (2x Monsoon + 4x Mistral),"64/256 GB, 2 GB RAM","64/256 GB, 2 GB RAM","12 MP, f/1.8, 28mm (","7 MP, f/2.2","5.0, A2DP, LE",Non-removable Li-Ion 1821 mAh battery (6.96 Wh),About 700 EUR
25,Apple Watch Edition Series 3,1,"2017, September",46.4 g (1.62 oz),"AMOLED capacitive touchscreen, 16M colors","1.65 inches, 8.6 cm2 (~55.1% screen-to-body ratio)",390 x 312 pixels (~303 ppi density),Dual-core,"16 GB, 768 MB RAM (to be confirmed)","16 GB, 768 MB RAM (to be confirmed)",No,,"4.2, A2DP, LE",Non-removable Li-Ion 279 mAh battery (1.07 Wh) - 38mm version,About 1450 EUR
26,Apple Watch Series 3,1,"2017, September",52.8 g (1.87 oz),"AMOLED capacitive touchscreen, 16M colors","1.65 inches, 8.6 cm2 (~55.4% screen-to-body ratio)",390 x 312 pixels (~303 ppi density),Dual-core,"16 GB, 768 MB RAM (to be confirmed)","16 GB, 768 MB RAM (to be confirmed)",No,,"4.2, A2DP, LE",Non-removable Li-Ion 279 mAh battery (1.07 Wh) - 38mm version,About 700 EUR
27,Apple Watch Series 3 Aluminum,1,"2017, September",34.9 g (1.23 oz),"AMOLED capacitive touchscreen, 16M colors","1.65 inches, 8.6 cm2 (~55.4% screen-to-body ratio)",390 x 312 pixels (~303 ppi density),Dual-core,"8/16 GB, 768 MB RAM (to be confirmed)","8/16 GB, 768 MB RAM (to be confirmed)",No,,"4.2, A2DP, LE",Non-removable Li-Ion 279 mAh battery (1.07 Wh) - 38mm version,About 480 EUR
28,Apple iPad Pro 12.9 (2017),1,"2017, June",677 g (Wi-Fi) / 692 g (LTE) (1.49 lb),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors","12.9 inches, 515.3 cm2 (~76.4% screen-to-body ratio)","2732 x 2048 pixels, 4:3 ratio (~265 ppi density)",,"64/256/512 GB, 4GB RAM","64/256/512 GB, 4GB RAM","12 MP, f/1.8, 1/3"", ","7 MP, f/2.2, 32mm (s","4.2, A2DP, EDR","Non-removable Li-Ion 10,891 mAh battery (41 Wh)",About 900 EUR
29,Apple iPad Pro 10.5 (2017),1,"2017, June",469 g (Wi-Fi) / 477 g (LTE) (1.03 lb),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors","10.5 inches, 341.4 cm2 (~78.3% screen-to-body ratio)","1668 x 2224 pixels, 4:3 ratio (~265 ppi density)",,"64/256/512 GB, 4GB RAM","64/256/512 GB, 4GB RAM","12 MP, f/1.8, 1/3"", ","7 MP, f/2.2, 32mm (s","4.2, A2DP, EDR",Non-removable Li-Ion 8134 mAh battery (30.8 Wh),About 730 EUR
30,Apple iPad 9.7 (2017),1,"2017, March",469 g (Wi-Fi) / 478 g (LTE) (1.05 lb),"LED-backlit IPS LCD, capacitive touchscreen, 16M colors","9.7 inches, 291.4 cm2 (~71.6% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)",Dual-core 1.84 GHz (Twister),"32/128 GB, 2 GB RAM","32/128 GB, 2 GB RAM","8 MP, f/2.4, 31mm (s","1.2 MP, f/2.2, 31mm ","4.2, A2DP, EDR, LE",Non-removable Li-Ion 8827 mAh battery (32.9 Wh),About 390 EUR
31,Apple Watch Edition Series 2 42mm,0,"2016, September. Released 2016, December",45.6 g body (1.62 oz),"AMOLED capacitive touchscreen, 16M colors","1.65 inches, 8.6 cm2 (~55.1% screen-to-body ratio)",390 x 312 pixels (~303 ppi density),Dual-core 780 MHz Cortex-A7,"8 GB, 512 MB RAM","8 GB, 512 MB RAM",No,,"4.0, LE",Non-removable Li-Ion 334 mAh battery (1.27 Wh),About 1500 EUR
32,Apple Watch Series 2 42mm,0,"2016, September. Released 2016, December",52.4 g body (1.83 oz),"AMOLED capacitive touchscreen, 16M colors","1.65 inches, 8.6 cm2 (~55.4% screen-to-body ratio)",390 x 312 pixels (~303 ppi density),Dual-core 780 MHz Cortex-A7,"8 GB, 512 MB RAM","8 GB, 512 MB RAM",No,,"4.0, A2DP",Non-removable Li-Ion 334 mAh battery (1.27 Wh),About 700 EUR
